transaction_id,timestamp,amount,currency
tx100000,2024-02-22T04:29:00+00:00,2929.81,GBP
tx100001,2024-02-23T21:52:00+00:00,4298.98,GBP
tx100002,2024-02-20T10:52:00+00:00,2988.50,CAD
tx100003,2024-04-09T12:43:00+00:00,690.95,CAD
tx100004,2024-01-01T23:02:00+00:00,4998.20,CAD
tx100005,2024-04-09T15:06:00+00:00,188.49,USD
tx100006,2024-04-20T15:38:00+00:00,192.61,CAD
tx100007,2024-01-07T20:46:00+00:00,2865.03,AUD
tx100008,2024-01-03T22:22:00+00:00,4850.61,GBP
tx100009,2024-04-02T08:02:00+00:00,2163.73,EUR
tx100010,2024-03-29T00:16:00+00:00,2138.56,USD
tx100011,2024-02-20T08:26:00+00:00,1460.76,JPY
tx100012,2024-03-21T06:28:00+00:00,3554.01,GBP
tx100013,2024-04-07T17:03:00+00:00,2483.09,GBP
tx100014,2024-02-02T01:05:00+00:00,2890.80,GBP
tx100015,2024-04-05T05:54:00+00:00,942.14,JPY
tx100016,2024-01-19T07:23:00+00:00,475.94,USD
tx100017,2024-02-05T21:13:00+00:00,4413.73,USD
tx100018,2024-02-13T07:56:00+00:00,154.61,CAD
tx100019,2024-01-31T01:08:00+00:00,37.31,EUR
tx100020,2024-03-28T13:35:00+00:00,2752.83,JPY
tx100021,2024-01-23T04:26:00+00:00,1285.20,EUR
tx100022,2024-03-04T06:47:00+00:00,1290.18,AUD
tx100023,2024-03-05T14:42:00+00:00,2213.88,USD
tx100024,2024-02-26T06:22:00+00:00,4385.89,USD
tx100025,2024-01-11T10:43:00+00:00,4443.91,CAD
tx100026,2024-02-18T22:55:00+00:00,3856.06,CAD
tx100027,2024-02-08T14:24:00+00:00,967.90,GBP
tx100028,2024-04-07T08:24:00+00:00,1802.49,GBP
tx100029,2024-02-15T15:03:00+00:00,72.41,GBP
tx100030,2024-03-28T09:06:00+00:00,1511.55,CAD
tx100031,2024-04-02T16:43:00+00:00,3189.51,GBP
tx100032,2024-02-10T07:29:00+00:00,4447.00,USD
tx100033,2024-02-11T23:02:00+00:00,1436.53,JPY
tx100034,2024-03-13T21:38:00+00:00,369.92,JPY
tx100035,2024-04-03T05:44:00+00:00,2424.30,EUR
tx100036,2024-02-07T10:07:00+00:00,2224.57,JPY
tx100037,2024-03-09T21:59:00+00:00,4919.48,USD
tx100038,2024-04-09T08:55:00+00:00,4209.04,AUD
